Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
loam,5.192294089205035,bi-weekly,chemical,31.71960241024412,61.59186060848997,0
sandy,4.033132702741614,weekly,organic,28.91948412187396,52.42227609891599,1
loam,8.892768570729004,bi-weekly,none,23.1790588882854,44.66053858490323,0
loam,8.241144063085702,bi-weekly,none,18.46588640141692,46.4332272684958,0
sandy,8.374043008245923,bi-weekly,organic,18.12874085342172,63.62592280385192,0
sandy,8.627622080115675,bi-weekly,none,20.004857963291904,67.618726471884,0
loam,4.444267910404542,daily,organic,25.984533294122407,69.57895218629243,1
clay,6.150794371265635,daily,organic,29.291918454001248,69.48090713972769,0
loam,4.695214357150778,bi-weekly,none,28.203947534354626,34.56030515243452,1
loam,9.17862055525356,weekly,organic,20.598677938918858,54.72101523512907,1
loam,7.7397887609653475,daily,none,34.097305613263885,32.877938000832216,0
loam,5.985388149115895,bi-weekly,chemical,29.75793833391537,57.47644411618678,0
sandy,4.381350101716142,daily,organic,26.08708105022801,52.07652506866885,1
loam,5.865893930293973,daily,chemical,27.234414924687044,74.38520913791498,1
clay,5.951099932160482,weekly,none,23.3920012485558,47.54575062760394,1
sandy,8.377637070028385,bi-weekly,chemical,19.95461979002315,35.853350821380296,1
clay,7.8253448281312785,bi-weekly,chemical,22.119453573025236,37.1495841026418,0
clay,9.32327645545796,weekly,none,30.15692220928738,68.07553158587362,0
clay,6.833289550971696,weekly,chemical,15.287869772595116,60.91090316581305,1
clay,4.71756547562981,bi-weekly,chemical,17.321452810138325,35.05613380613951,1
sandy,8.27946872333797,bi-weekly,none,15.920052840435057,34.20534030574987,0
sandy,8.564710291701385,weekly,chemical,15.814576046379402,65.048456572956,1
clay,7.367663185416977,daily,none,32.10921168022014,33.638150318209675,0
clay,8.625803079727365,daily,chemical,29.073157187600472,71.09300296451781,1
sandy,6.9627735781863445,weekly,none,24.483476581746505,65.31211135782482,1
sandy,7.136396976291964,daily,none,16.95668321302003,34.06743903209499,0
sandy,6.565246110151298,weekly,chemical,24.832317502336647,34.241885704259595,0
loam,4.152514760464571,daily,chemical,24.469435415611315,79.33197892505876,0
loam,4.647348561959827,daily,chemical,18.464037398200304,48.71353978780601,1
loam,4.188575114120406,bi-weekly,organic,23.67703298475946,48.53210735334454,1
clay,7.818462467582682,bi-weekly,organic,22.97009468794747,70.63997836287513,0
loam,5.88613588645796,daily,organic,27.31700196104433,77.36242886919294,0
clay,7.051424146988216,daily,none,27.701873017352877,79.30005319114355,0
clay,9.445398843556555,bi-weekly,chemical,15.90608019544089,67.66890926294708,0
loam,5.495753374893249,bi-weekly,none,22.492252292529425,48.81297927654579,1
clay,6.462297538213779,bi-weekly,organic,27.517198314284727,34.17503583493344,1
loam,8.533306831258292,weekly,chemical,25.062725171601755,68.85734579637185,0
loam,5.372788992949735,daily,none,32.12979682376644,57.92021248679025,1
sandy,4.461879458972758,bi-weekly,chemical,28.173872632378902,51.21110046234881,0
loam,5.738508717482608,daily,none,18.258688541628597,75.3177192547368,1
sandy,4.9673277235240265,weekly,chemical,16.411374948008596,35.559874115307565,1
loam,9.57818591405544,weekly,organic,27.84838556412631,54.63125521454296,1
loam,8.848722277386502,bi-weekly,organic,15.530226210832437,30.567682238370956,1
sandy,7.800422539062541,weekly,chemical,26.715511625469265,53.43303209970631,1
sandy,9.228763541126304,daily,none,33.80460482849915,32.815163784091865,0
loam,8.822032461394688,bi-weekly,organic,26.50948355751758,35.9408958134036,1
clay,5.119420353316215,daily,organic,22.76339852413044,35.87631233885524,1
sandy,9.355353990939866,daily,organic,27.865764368847064,62.460515105803175,1
clay,7.236053451493904,weekly,chemical,24.165057809830333,67.30224396327117,0
clay,8.844640930984376,weekly,chemical,25.9123357863187,59.16843825485798,0
clay,9.376547799540958,weekly,none,33.8292961755305,78.10862742372709,0
sandy,5.908020849831184,weekly,none,22.722052756015486,48.7435289761852,1
clay,4.66031154716606,weekly,none,34.22381127647829,44.28560431409304,0
sandy,5.36761097525165,bi-weekly,chemical,33.107012839121275,73.42995640947302,0
clay,6.562646731757538,daily,chemical,18.915822695785927,41.17979192597263,0
loam,8.90808859553496,daily,none,16.38722601750331,78.16112697203056,0
loam,9.164383499538062,daily,none,17.01556002754853,30.60772373449082,1
sandy,4.041712783187144,daily,chemical,15.364436513030997,78.49394133538195,0
loam,7.064483815465394,weekly,none,16.88885921511857,32.1579955975288,0
loam,6.504466018892674,daily,organic,28.660135468327137,74.55715568490356,1
clay,5.332646862824381,bi-weekly,chemical,16.42377296920458,56.385055454314994,1
sandy,4.719192204002097,bi-weekly,none,21.379512605875227,79.64823980596502,0
clay,6.025691028421768,daily,chemical,31.89750621938909,33.68982823676994,0
clay,9.657458223475114,daily,organic,15.465438714716518,57.69271422006604,0
clay,5.939217592124532,bi-weekly,chemical,31.28936965177872,78.46512678095495,0
clay,7.112743730460196,bi-weekly,chemical,20.637095495468,56.15489220850744,1
clay,8.218113753371068,weekly,chemical,17.363296552433127,61.46993190676312,1
clay,6.181777614275764,bi-weekly,chemical,28.93474330728301,64.78743444923086,1
clay,9.830692496325764,weekly,organic,27.57885693559768,52.72705323838866,0
sandy,9.774683769652668,weekly,chemical,32.549440270541055,61.37790400420317,1
loam,5.510693774952185,weekly,chemical,29.70142087607772,59.21571559615501,0
clay,6.983491035354312,weekly,none,31.06961860769697,75.05790052454944,1
clay,5.805269858900618,weekly,chemical,20.64069145142613,32.272319017072896,1
clay,5.709042966264805,daily,none,18.548790875594456,44.04815947961151,1
clay,4.221321684127197,bi-weekly,organic,30.012295032817168,77.52057420382793,1
clay,7.657386003879381,weekly,organic,31.13669478534528,74.51318919454582,0
clay,7.016074139373169,bi-weekly,organic,34.81010284001347,52.782837639285646,0
loam,4.308872507499936,bi-weekly,organic,23.25235353822853,61.00662989007684,1
loam,5.671878785419668,weekly,none,22.440361715855666,43.86905914905663,1
clay,9.449595315799922,daily,chemical,30.52825921483993,39.40605798618807,1
loam,5.437371344001835,weekly,organic,21.81607080506036,53.18492024699911,1
sandy,4.8693692325473386,daily,chemical,33.61514651207129,47.66761140130264,1
clay,6.936716561665378,bi-weekly,none,32.16825503686024,59.1828055925436,0
sandy,9.913902724663604,daily,none,23.57988054750037,33.88673184824924,1
sandy,5.452331629069002,daily,none,30.017421355829946,78.71974038330833,0
clay,8.03281328443527,daily,organic,30.090857481693646,79.31053722398013,0
loam,8.569717691972306,bi-weekly,chemical,17.062477376718654,64.90808570098726,1
sandy,5.425825263954398,bi-weekly,chemical,33.05105813359133,56.80481831720602,1
clay,8.369298091671158,daily,chemical,25.105047448957144,45.47638081431639,0
sandy,6.20669879631552,daily,none,31.529149322154836,70.68975098534743,1
sandy,7.793834983561477,weekly,organic,21.40099202061224,64.23655862769397,1
sandy,7.801178264565368,daily,none,32.91046456992401,38.130846967244565,0
sandy,7.214648104448551,weekly,none,22.784033574683264,75.54635922469213,0
loam,4.54173862032645,daily,chemical,15.216753029605968,71.12686214615846,1
sandy,9.011814973535428,weekly,none,33.10763952838528,77.4899956645962,0
sandy,5.924680389830416,bi-weekly,chemical,16.82573353572267,66.28597541941801,0
sandy,5.119111062399125,daily,organic,21.3862727518083,60.6707597967895,1
loam,4.244650849328584,daily,chemical,34.0012393410161,50.912151814530944,0
sandy,7.545357659129451,daily,organic,34.012142938751126,76.63642416770065,0
sandy,8.065386171053694,daily,chemical,26.46875776246572,73.30319447502042,0
sandy,8.0,daily,organic,25.0,60.0,1
clay,5.0,weekly,chemical,20.0,70.0,0
